ID,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR,BERTScore_P,BERTScore_R,BERTScore_F1,FKGL,DCRS,CLI
37,0.16816816816816815,0.04833836858006042,0.10810810810810811,0.030393442009463534,0.06117548412731934,0.8611324429512024,0.8127220869064331,0.8362271785736084,12.5,9.66,9.75
38,0.04545454545454545,0.006535947712418301,0.03896103896103896,6.927960962709227e-13,0.012263489838822705,0.8590489625930786,0.7824351191520691,0.8189541697502136,0.9,9.35,2.23
39,0.14948453608247425,0.04145077720207253,0.09278350515463916,0.03197383931013522,0.06192386757068668,0.8564189672470093,0.7907938361167908,0.8222991824150085,10.5,8.07,8.59
40,0.11627906976744187,0.060747663551401876,0.09302325581395349,0.0003975497657982314,0.0351847197788389,0.8591001033782959,0.7965911626815796,0.8266656398773193,13.7,9.47,11.42
41,0.07211538461538462,0.014492753623188406,0.05288461538461538,0.00362907743551754,0.03186404673393521,0.8065913915634155,0.7902109622955322,0.7983171939849854,16.0,13.9,16.13
42,0.19390581717451524,0.10027855153203341,0.13850415512465375,0.04507607957939486,0.08536928256993552,0.8828752040863037,0.8000955581665039,0.8394495844841003,6.7,8.67,11.42
43,0.11409395973154364,0.04729729729729729,0.087248322147651,0.00024519655996755365,0.051538676087764954,0.8607330322265625,0.7876851558685303,0.8225905895233154,8.7,9.58,6.74
44,0.1094736842105263,0.021141649048625793,0.07578947368421053,0.0006414482279052704,0.041280882087745066,0.8532801866531372,0.8059408664703369,0.8289352059364319,16.4,13.15,16.42
45,0.08955223880597014,0.03293413173652695,0.06865671641791045,1.3738946905985626e-05,0.032202354424845155,0.8606124520301819,0.7937511205673218,0.8258306384086609,11.7,9.84,10.79
46,0.1466666666666667,0.04017857142857143,0.10666666666666667,0.003076274907225901,0.04867062835785032,0.8667908906936646,0.7937045097351074,0.8286392688751221,13.2,10.02,9.93
47,0.18469656992084435,0.03183023872679045,0.1108179419525066,0.032874982616907814,0.06317689530685922,0.8529040813446045,0.7953051924705505,0.8230981826782227,13.6,7.53,12.12
48,0.15432098765432098,0.055900621118012424,0.1111111111111111,0.008956825962545286,0.06255761511379751,0.8820070028305054,0.807815670967102,0.8432826399803162,9.5,13.31,11.08
49,0.1751824817518248,0.05867970660146699,0.10218978102189781,0.03861568066852534,0.06252487529406775,0.8736975789070129,0.8074204325675964,0.8392525315284729,8.6,8.89,10.03
50,0.11548556430446194,0.015831134564643797,0.07874015748031496,0.00410391324142688,0.042509527997654645,0.8500723242759705,0.7931731939315796,0.8206377029418945,11.9,7.49,13.23
51,0.15238095238095237,0.0688336520076482,0.1142857142857143,0.00818464489776221,0.053338150814427006,0.8618612289428711,0.7984058856964111,0.8289209008216858,13.0,7.84,7.67
52,0.08148148148148147,0.011152416356877323,0.059259259259259255,0.00010966979904412393,0.03491476689258574,0.8285108804702759,0.7790470123291016,0.8030179738998413,15.6,9.06,15.61
53,0.12698412698412698,0.009111617312072893,0.06802721088435375,0.0044890621338878785,0.05201725450393301,0.8825605511665344,0.8080085515975952,0.8436406850814819,14.3,10.68,15.89
54,0.1590909090909091,0.022857142857142857,0.07954545454545454,0.017309528153176594,0.05646591161840828,0.8540008068084717,0.8012754917144775,0.8267984390258789,14.0,12.41,15.49
55,0.09014084507042254,0.03399433427762039,0.06760563380281691,2.8580776827796324e-05,0.03223825606386245,0.8392260074615479,0.7724504470825195,0.8044549226760864,4.4,9.5,5.03
56,0.15555555555555559,0.01675977653631285,0.10555555555555557,0.02122992641439874,0.05227377043392295,0.8248509168624878,0.767969012260437,0.7953943014144897,14.4,7.32,14.1
57,0.1257861635220126,0.05063291139240507,0.09433962264150943,0.002087257398691338,0.04959837684504845,0.8811184167861938,0.7951968908309937,0.8359556198120117,8.6,10.15,13.51
58,0.16793893129770993,0.03580562659846547,0.10178117048346055,0.02064714723130424,0.08615343424383713,0.868090033531189,0.7919437885284424,0.828270435333252,8.6,8.57,7.94
59,0.1271393643031785,0.044226044226044224,0.10268948655256724,0.0044644189325438646,0.049017211551646823,0.8376404643058777,0.7757337093353271,0.8054993152618408,9.1,7.69,5.22
60,0.0845771144278607,0.034999999999999996,0.06467661691542288,4.497898162772875e-05,0.03564246902714365,0.8710635900497437,0.8028339147567749,0.8355581760406494,15.8,11.0,13.81
61,0.08762886597938145,0.0051813471502590676,0.05670103092783505,1.7502680788907977e-06,0.029029582526956036,0.8648488521575928,0.7974246740341187,0.8297693133354187,15.0,10.09,13.23
62,0.1656441717791411,0.024691358024691357,0.10429447852760736,0.024255418511736584,0.06888361822732265,0.8504977226257324,0.7954539060592651,0.8220553994178772,13.1,9.03,9.86
63,0.1111111111111111,0.030042918454935622,0.07692307692307693,0.002079555711421154,0.04491935193525298,0.8294655084609985,0.7936214208602905,0.8111476898193359,18.8,13.52,17.64
64,0.08040201005025126,0.01515151515151515,0.055276381909547735,0.0013648193935574112,0.04270037233000196,0.8150985240936279,0.7764939069747925,0.7953280210494995,11.3,11.27,14.9
65,0.08864265927977838,0.016713091922005572,0.0554016620498615,0.0006509862651210243,0.037243947858473,0.8682016134262085,0.793414831161499,0.829125165939331,13.4,9.66,11.62
66,0.1352657004830918,0.03398058252427185,0.10144927536231883,0.0018290371042159464,0.04699738903394255,0.8895577192306519,0.79546719789505,0.8398854732513428,9.5,9.57,7.6
